ts_unix,t_ns,seq,version,slave,torque_mNm_raw,torque_Nm_raw,torque_Nm_smooth,ratio_pct
1768033626.7820046,7967829654219,67482,1,1,13499,13.499,13.70703917217544,15.5
1768033626.7920115,7967839654436,67483,1,1,14124,14.124,13.69689276730828,16.2
1768033626.8019977,7967849655931,67484,1,1,13499,13.499,13.687240016060128,15.5
1768033626.8122098,7967859660944,67485,1,1,12874,12.874,13.678054954076211,14.7
1768033626.8221138,7967869655532,67486,1,1,13499,13.499,13.669326949904821,15.5
1768033626.8321402,7967879653434,67487,1,1,14124,14.124,13.661021706133708,16.2
1768033626.842172,7967889654095,67488,1,1,12874,12.874,13.653119304917047,14.7
1768033626.8521397,7967899652775,67489,1,1,13499,13.499,13.645603785302482,15.5
1768033626.8621204,7967909653196,67490,1,1,13499,13.499,13.638453540772893,15.5
1768033626.8721013,7967919653080,67491,1,1,13499,13.499,13.631652388272348,15.5
1768033626.8820152,7967929652797,67492,1,1,13499,13.499,13.625183033503818,15.5
1768033626.8920147,7967939653051,67493,1,1,13499,13.499,13.61902886190484,15.5
1768033626.9020143,7967949653416,67494,1,1,13499,13.499,13.613174776864058,15.5
1768033626.9119983,7967959653929,67495,1,1,14124,14.124,13.607606128713819,16.2
1768033626.9219997,7967969655017,67496,1,1,12874,12.874,13.602308783312386,14.7
1768033626.9320114,7967979654845,67497,1,1,12874,12.874,13.597270439008652,14.7
1768033626.9420002,7967989654766,67498,1,1,13499,13.499,13.592477770067344,15.5
1768033626.9520018,7967999655149,67499,1,1,12874,12.874,13.557435886956739,14.7
1768033626.9620125,7968009656681,67500,1,1,13499,13.499,13.524099345652933,15.5
1768033626.972031,7968019657639,67501,1,1,12874,12.874,13.492390664335355,14.7
1768033626.9820485,7968029655245,67502,1,1,13499,13.499,13.492712930183613,15.5
1768033626.9920146,7968039656073,67503,1,1,14124,14.124,13.493019578955757,16.2
1768033627.0020835,7968049657753,67504,1,1,14124,14.124,13.493311295317133,16.2
1768033627.0120184,7968059656192,67505,1,1,13499,13.499,13.493588694483288,15.5
1768033627.0220056,7968069656428,67506,1,1,14124,14.124,13.5243349242598,16.2
1768033627.0320451,7968079656441,67507,1,1,13499,13.499,13.553580972187712,15.5
1768033627.04201,7968089655751,67508,1,1,13499,13.499,13.550919205883758,15.5
1768033627.0520034,7968099656098,67509,1,1,13499,13.499,13.548386990646838,15.5
1768033627.0620058,7968109656000,67510,1,1,13499,13.499,13.545978381710215,15.5
1768033627.0720274,7968119656476,67511,1,1,13499,13.499,13.54368711264273,15.5
1768033627.0820508,7968129656841,67512,1,1,13499,13.499,13.541507618865266,15.5
1768033627.092005,7968139657188,67513,1,1,13499,13.499,13.53943442767631,15.5
1768033627.1020067,7968149656720,67514,1,1,13499,13.499,13.537462507370714,15.5
1768033627.1120048,7968159656900,67515,1,1,13499,13.499,13.535586635823112,15.5
1768033627.1220038,7968169657117,67516,1,1,14124,14.124,13.533802246777977,16.2
1768033627.1319969,7968179657167,67517,1,1,13499,13.499,13.532104912897719,15.5
1768033627.1419957,7968189657532,67518,1,1,13499,13.499,13.530490309773976,15.5
1768033627.151996,7968199657398,67519,1,1,14124,14.124,13.528954529313175,16.2
1768033627.1620452,7968209658800,67520,1,1,14124,14.124,13.55797920718648,16.2
1768033627.1721497,7968219671054,67521,1,1,13499,13.499,13.555099319998867,15.5
1768033627.1821046,7968229655901,67522,1,1,14124,14.124,13.582803931397605,16.2
1768033627.1920233,7968239655877,67523,1,1,13499,13.499,13.609198313345097,15.5
1768033627.2020123,7968249656316,67524,1,1,14124,14.124,13.634306562749535,16.2
1768033627.2120237,7968259656811,67525,1,1,12249,12.249,13.627707265264533,14.0
1768033627.2220082,7968269657009,67526,1,1,13499,13.499,13.621430016660867,15.5
1768033627.2320542,7968279657189,67527,1,1,14124,14.124,13.615458929476846,16.2
1768033627.2420363,7968289657277,67528,1,1,12874,12.874,13.60977911172141,14.7
1768033627.2520025,7968299657383,67529,1,1,13499,13.499,13.604376294840007,15.5
